zipcode,city,state,location_type,tax_returns_filed,population,total_wages,event_timestamp,created_timestamp
65707,MILLER,MO,PRIMARY,954,1770,25170637,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
28329,CLINTON,NC,PRIMARY,1353,2505,35505191,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31805,CUSSETA,GA,PRIMARY,1217,2263,29402457,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
55127,SAINT PAUL,MN,PRIMARY,9099,15796,673842538,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
49744,HERRON,MI,PRIMARY,409,745,11054272,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
81419,HOTCHKISS,CO,PRIMARY,1645,3028,49313392,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91789,WALNUT,CA,PRIMARY,20233,37363,1007412826,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
2790,WESTPORT,MA,PRIMARY,7817,13765,336390312,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
64790,WALKER,MO,PRIMARY,353,651,6840515,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
44814,BERLIN HEIGHTS,OH,PRIMARY,1435,2551,47949650,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
60043,KENILWORTH,IL,PRIMARY,1285,2371,287126507,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
16731,ELDRED,PA,PRIMARY,1348,2396,39293086,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
1867,READING,MA,PRIMARY,11926,21499,808066167,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
6460,MILFORD,CT,PRIMARY,20773,34070,1088354615,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91108,SAN MARINO,CA,PRIMARY,6783,12520,720791687,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
5079,VERSHIRE,VT,PRIMARY,315,538,8801718,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
49405,CUSTER,MI,PRIMARY,732,1304,19421246,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
79007,BORGER,TX,PRIMARY,5878,11067,222350247,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
26753,RIDGELEY,WV,PRIMARY,2881,5251,101358267,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
19079,SHARON HILL,PA,PRIMARY,4444,7196,129870560,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
17545,MANHEIM,PA,PRIMARY,10663,18860,390865308,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
55384,SPRING PARK,MN,PRIMARY,879,1265,35767491,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
97910,JORDAN VALLEY,OR,PRIMARY,297,526,5005716,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
58433,EDGELEY,ND,PRIMARY,551,957,13317429,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
59468,POWER,MT,PRIMARY,277,500,7159255,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
38674,TIPLERSVILLE,MS,PRIMARY,389,741,10667663,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
96003,REDDING,CA,PRIMARY,17737,30950,552655890,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
77516,ANGLETON,TX,PRIMARY,1202,2127,43951334,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
4330,AUGUSTA,ME,PRIMARY,11840,19658,369684475,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
33957,SANIBEL,FL,PRIMARY,3247,5478,171898751,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
75429,COMMERCE,TX,PRIMARY,459,737,13080280,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
32949,GRANT,FL,PRIMARY,996,1761,41362053,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
16033,EVANS CITY,PA,PRIMARY,3101,5421,120748627,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
4074,SCARBOROUGH,ME,PRIMARY,8902,15910,465173618,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
46703,ANGOLA,IN,PRIMARY,8147,14245,252694968,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
38345,HURON,TN,PRIMARY,771,1489,25579967,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
13616,CALCIUM,NY,PRIMARY,740,1340,21326989,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
79336,LEVELLAND,TX,PRIMARY,6896,12753,236728752,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
44643,MAGNOLIA,OH,PRIMARY,1532,2693,45076025,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
5142,CAVENDISH,VT,PRIMARY,351,601,9548506,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
85214,MESA,AZ,PRIMARY,481,806,16020989,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
49759,MILLERSBURG,MI,PRIMARY,726,1296,13380152,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
54665,VIROQUA,WI,PRIMARY,3873,6813,105279780,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
87715,CLEVELAND,NM,PRIMARY,251,429,4435153,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
59930,REXFORD,MT,PRIMARY,294,533,4300907,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
14174,YOUNGSTOWN,NY,PRIMARY,2925,5187,121049602,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
88049,MIMBRES,NM,PRIMARY,412,715,7855276,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
41804,BLACKEY,KY,PRIMARY,332,657,11316849,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
81041,GRANADA,CO,PRIMARY,282,553,6707537,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
43964,TORONTO,OH,PRIMARY,4632,8006,138654280,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
99827,HAINES,AK,PRIMARY,1331,2152,33427226,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95696,VACAVILLE,CA,PRIMARY,1201,2007,45919613,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
2663,SOUTH WELLFLEET,MA,PRIMARY,344,539,6973313,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
66865,OLPE,KS,PRIMARY,530,991,18127412,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
47512,BICKNELL,IN,PRIMARY,1645,2942,43810253,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95948,GRIDLEY,CA,PRIMARY,4244,8183,123636608,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
21524,CORRIGANVILLE,MD,PRIMARY,263,461,7257542,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31795,TY TY,GA,PRIMARY,910,1673,23810078,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
96818,HONOLULU,HI,PRIMARY,21125,40131,828284548,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
20751,DEALE,MD,PRIMARY,1171,1944,58633820,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
94903,SAN RAFAEL,CA,PRIMARY,14328,23974,794700161,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
63939,FAIRDEALING,MO,PRIMARY,567,1090,13109575,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
70546,JENNINGS,LA,PRIMARY,6766,12538,229974408,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
92658,NEWPORT BEACH,CA,PRIMARY,1360,2015,85396822,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
61334,LOSTANT,IL,PRIMARY,369,647,11198469,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
47017,CROSS PLAINS,IN,PRIMARY,297,531,9102921,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
32455,PONCE DE LEON,FL,PRIMARY,1719,3181,43532543,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
96818,HONOLULU,HI,PRIMARY,21125,40131,828284548,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
71469,ROBELINE,LA,PRIMARY,1023,2019,35930399,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
17876,SHAMOKIN DAM,PA,PRIMARY,819,1381,23144279,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
12525,GARDINER,NY,PRIMARY,1784,3067,82457095,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
59038,HYSHAM,MT,PRIMARY,306,544,7853090,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91394,GRANADA HILLS,CA,PRIMARY,317,493,10565696,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
98257,LA CONNER,WA,PRIMARY,2127,3632,64153805,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
43110,CANAL WINCHESTER,OH,PRIMARY,15631,27043,647524954,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
79936,EL PASO,TX,PRIMARY,46203,88503,1519147089,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91214,LA CRESCENTA,CA,PRIMARY,13591,25651,742668478,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
58027,ENDERLIN,ND,PRIMARY,656,1158,20030392,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
36088,TUSKEGEE INSTITUTE,AL,PRIMARY,1208,1889,22206967,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
70071,LUTCHER,LA,PRIMARY,1624,2934,58133715,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91401,VAN NUYS,CA,PRIMARY,17251,28864,626351718,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
53590,SUN PRAIRIE,WI,PRIMARY,17475,31182,840767256,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95666,PIONEER,CA,PRIMARY,2400,4179,65818845,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
66736,FREDONIA,KS,PRIMARY,1822,3298,48165696,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
42464,WHITE PLAINS,KY,PRIMARY,728,1433,21907471,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
92211,PALM DESERT,CA,PRIMARY,11167,18234,294398455,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
97532,MERLIN,OR,PRIMARY,1564,2777,35301586,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
20117,MIDDLEBURG,VA,PRIMARY,681,1131,49083280,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
10464,BRONX,NY,PRIMARY,2131,3381,108256016,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
46960,MONTEREY,IN,PRIMARY,539,978,13921870,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
36205,ANNISTON,AL,PRIMARY,290,482,10716010,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
46301,BEVERLY SHORES,IN,PRIMARY,346,565,16263261,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
47124,GREENVILLE,IN,PRIMARY,2034,3856,95933773,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
73717,ALVA,OK,PRIMARY,2747,4738,73136986,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
7071,LYNDHURST,NJ,PRIMARY,10509,17397,493255803,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
23181,WEST POINT,VA,PRIMARY,2653,4776,102638627,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31523,BRUNSWICK,GA,PRIMARY,5667,10672,226099291,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
78739,AUSTIN,TX,PRIMARY,6676,14154,565514937,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
8829,HIGH BRIDGE,NJ,PRIMARY,1857,3328,115616477,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
13440,ROME,NY,PRIMARY,18712,31499,589434231,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
48173,ROCKWOOD,MI,PRIMARY,6080,11095,268466610,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
96755,KAPAAU,HI,PRIMARY,1827,3148,54341976,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
37144,PETERSBURG,TN,PRIMARY,1408,2674,41962060,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
72634,FLIPPIN,AR,PRIMARY,2001,3636,45678269,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
45225,CINCINNATI,OH,PRIMARY,3049,5039,47671786,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
50849,GREENFIELD,IA,PRIMARY,1347,2386,39405946,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
8202,AVALON,NJ,PRIMARY,938,1508,53452847,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
48173,ROCKWOOD,MI,PRIMARY,6080,11095,268466610,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
4015,CASCO,ME,PRIMARY,1508,2620,51686158,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
43764,NEW LEXINGTON,OH,PRIMARY,3485,6156,98763597,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
76241,GAINESVILLE,TX,PRIMARY,1033,1786,30991572,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
77293,HOUSTON,TX,PRIMARY,350,567,8069094,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
17093,SUMMERDALE,PA,PRIMARY,375,612,11420268,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
10527,GRANITE SPRINGS,NY,PRIMARY,473,901,48392560,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
69024,CULBERTSON,NE,PRIMARY,560,1020,14927250,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
41064,MOUNT OLIVET,KY,PRIMARY,806,1505,21730258,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
60481,WILMINGTON,IL,PRIMARY,5926,10277,234769230,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
14853,ITHACA,NY,PRIMARY,302,342,5064499,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
2876,SLATERSVILLE,RI,PRIMARY,765,1211,29798698,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
4769,PRESQUE ISLE,ME,PRIMARY,4645,7779,140950065,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
7055,PASSAIC,NJ,PRIMARY,28463,51244,778397023,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
92570,PERRIS,CA,PRIMARY,16762,33297,488394932,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
77865,MARQUEZ,TX,PRIMARY,702,1311,21332997,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
87420,SHIPROCK,NM,PRIMARY,3099,5236,93508324,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
50648,JESUP,IA,PRIMARY,1883,3476,69459329,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
99710,FAIRBANKS,AK,PRIMARY,875,1451,40361564,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
29378,UNA,SC,PRIMARY,528,975,9403657,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
48730,EAST TAWAS,MI,PRIMARY,2295,3876,51005023,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
36373,SHORTERVILLE,AL,PRIMARY,258,472,5785190,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31789,SUMNER,GA,PRIMARY,626,1189,18145167,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
39752,MATHISTON,MS,PRIMARY,955,1857,28716799,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
